Accession	Isolate	host_sci_name	PMID	gb_lab_construct	patent
AF182261  		Homo sapiens			
AF182269  		Homo sapiens			
AF182270		Mastomys sp.			
AF182267 		Homo sapiens			
AF182265		Homo sapiens			
AF182258 		Homo sapiens			
AF182259 		Homo sapiens			
AF182262 		Homo sapiens			
AF182260		Homo sapiens			
AF182263		Homo sapiens			
AF182264		Homo sapiens			
AF182271		Homo sapiens			
AF182268		Homo sapiens			
AF182266		Homo sapiens			
AF182219		Homo sapiens			
AF182220		Homo sapiens			
AF182229		Homo sapiens			
AF182232		Homo sapiens			
AF182230		Homo sapiens			
AF182231		Homo sapiens			
AF182227 		Homo sapiens			
AF182221		Homo sapiens			
AF182224 		Homo sapiens			
AF182223		Homo sapiens			
AF182225 		Homo sapiens			
AF182226		Homo sapiens			
AF182228		Homo sapiens			
AF182222 		Homo sapiens			
AF182272		Homo sapiens			
AF182247 		Homo sapiens			
AF182236		Homo sapiens			
AF182235		Homo sapiens			
AF182250 		Homo sapiens			
AF182257 		Homo sapiens			
AF182246		Homo sapiens			
AF182238 		Homo sapiens			
AF182253		Mastomys sp.			
AF182248		Mastomys sp.			
AF182251		Mastomys sp.			
AF182249		Mastomys sp.			
AF182241		Mastomys sp.			
AF182239		Mastomys sp.			
AF182242 		Mastomys sp.			
AF182240		Mastomys sp.			
AF182244		Mastomys sp.			
AF182243		Mastomys sp.			
AF182234		Homo sapiens			
AF182233 		Homo sapiens			
AF182256		Homo sapiens			
AF182245		Mastomys sp.			
AF182254 		Homo sapiens			
AF182237		Homo sapiens			
AF182252		Homo sapiens			
AF182255		Homo sapiens			
					
AF246121		Homo sapiens			
					
AF333969		Homo sapiens			
					
AH012598		Homo sapiens			
					
AY179171		Homo sapiens			
AY179172		Homo sapiens			
AY179173		Homo sapiens			
					
AY216508		Homo sapiens			
					
AY363905  		Homo sapiens 			
AY363906		Homo sapiens   			
AY363907		Homo sapiens     			
AY363908		Homo sapiens     			
AY363909		Homo sapiens      			
AY363910		Homo sapiens			
					
AY693638		Homo sapiens			
AY693639		Homo sapiens			
AY693640		Homo sapiens			
					
AY870334		Homo sapiens			
					
KF425246		Homo sapiens			
					
AY628200		Homo sapiens			
AY628201		Homo sapiens			
AY628202		Homo sapiens			
AY628203		Homo sapiens			
AY628204	Z148				
AY628205	Z148				
AY628206	Weller				
AY628207	Pinneo				
					
AY628208     	Acar 3080       				
AY693637        Nig04-010  				
AY870334 	Lib04-2739	Homo sapiens			
					
CS272332					Yes
CS805355					Yes
DI160217					Yes
DL138934					Yes
DL138935					Yes
					
DQ010030		Homo sapiens			
DQ010031		Homo sapiens			
					
DQ832667		Mastomys sp.			
DQ832668		Mastomys sp.			
DQ832669		Mastomys sp.			
DQ832670		Mastomys sp.			
DQ832671		Mastomys sp.			
DQ832672		Mastomys sp.			
DQ832673		Mastomys sp.			
DQ832674		Mastomys sp.			
DQ832675		Mastomys sp.			
DQ832676		Mastomys sp.			
DQ832677		Mastomys sp.			
DQ832678		Mastomys sp.			
DQ832679		Mastomys sp.			
DQ832680		Mastomys sp.			
DQ832681		Mastomys sp.			
DQ832682		Mastomys sp.			
DQ832683		Mastomys sp.			
DQ832684		Mastomys sp.			
DQ832685		Mastomys sp.			
DQ832686		Mastomys sp.			
DQ832687		Mastomys sp.			
DQ832688		Mastomys sp.			
DQ832689		Mastomys sp.			
DQ832690		Mastomys sp.			
DQ832691		Mastomys sp.			
DQ832692		Mastomys sp.			
DQ832693		Mastomys sp.			
DQ832694		Mastomys sp.			
DQ832695		Mastomys sp.			
DQ832696		Mastomys sp.			
DQ832697		Mastomys sp.			
DQ832698		Mastomys sp.			
DQ832699		Mastomys sp.			
					
FV537334					Yes
FV537335					Yes
FV537336					Yes
FV537337					Yes
FV537338					Yes
FV537339					Yes
FV537340					Yes
					
GN354234					Yes
GN354235					Yes
GN354236					Yes
GN354237					Yes
GN354238					Yes
GN354239					Yes
GN354240					Yes
GN354241					Yes
GN354242					Yes
GN354243					Yes
					
					
					
KM406605	LM0250				
KM406606	LM0273				
KM406607	LM0395				
KM406608	LM0434				
KM406609	LM0473				
KM406610	LM0582				
KM406611	LM0610				
KM406612	LM0645				
KM406613	LM0657				
KM406614	LM0660				
KM406615	LM0661				
KM406616	LM0676				
KM406617	LM0677				
KM406618	LM0678				
KM406619	LM0680				
KM406620	LM0714				
KM406621	LM0716				
KM406622	Z0005				
KM406623	Z0007				
					
KM822127 		Homo sapiens  			
KM822128		Homo sapiens			
					
					
KU961971 Togo					
KU961972 Togo					
 					
KU978807	Guinea Faranah				
KU978808	Guinea Faranah				
KU978809	GUINEA Z-185a				
KU978810	GUINEA Z-185a				
KU978811	Nigeria Ikeji				
KU978812	Nigeria Ikeji				
					
KY425626	IRF0194				
KY425627	IRF0167				
KY425628	IRF0185				
KY425629	IRF0169				
KY425630	IRF0156				
KY425631	IRF0207				
KY425632	IRF0193				
KY425633	IRF0189				
KY425634	IRF0172				
KY425635	IRF0194				
KY425636	IRF0190				
KY425637	IRF0176				
KY425638	IRF0193				
KY425639	IRF0175				
KY425640	IRF0201				
KY425641	IRF0201				
KY425642	IRF0185				
KY425643	IRF0205				
KY425644	IRF0154				
KY425645	IRF0165				
KY425646	IRF0160				
KY425647	IRF0147				
KY425648	IRF0192				
KY425649	IRF0206				
KY425650	IRF0172				
KY425651	IRF0205				
					
LC387468	Nig12-17				
LC387469	Nig12-17				
LC387470	Nig13-04				
LC387471	Nig13-04				
LC387472	Nig14-03				
LC387473	Nig14-03				
LC387474	Nig14-04				
LC387475	Nig14-04				
LC387476	Nig14-06				
LC387477	Nig14-06				
LC387478	Nig14-09				
LC387479	Nig14-09				
LC387480	Nig14-19				
LC387481	Nig14-19				
LC387482	Nig16-02				
LC387483	Nig16-02				
LC387484	Nig16-11				
LC387485	Nig16-11				
LC387486	Nig16-13				
LC387487	Nig16-13				
LC387488	Nig16-14				
LC387489	Nig14-14				
					
LC388575	Nig12-04				
LC388576	Nig12-05				
LC388577	Nig12-27				
LC388578	Nig13-03				
LC388579	Nig13-08				
LC388580	Nig14-01				
LC388581	Nig14-07				
LC388582	Nig14-08				
LC388583	Nig14-14				
LC388584	Nig14-15				
LC388585 	Nig14-20				
LC388586 	Nig14-22				
LC388587	Nig14-24				
LC388588 	Nig14-25				
LC388589	Nig14-40				
LC388590	Nig14-41				
LC388591	Nig16-07				
LC388592	Nig16-10				
					
LP044168				yes	yes
LT601601 Alzey 		Homo sapiens 			
LT601602 Alzey		Homo sapiens 			
					
M15076	Josiah 	Homo sapiens			
MF317932	Nig14-00711				
MF317933	Nig15-00312				
MF317934	Nig15-00412				
MF317935	Nig16-01501				
MF317936	Nig16-03501				
MF317937	Nig16-03601				
MF317938	Nig16-04301				
MF317939	Nig16-05601				
MF317940	Nig16-05701				
MF317941	Nig16-06001				
MF317942	Nig16-07201				
MF317943	Nig16-07301				
MF317944	Nig16-14101				
MF317945	Nig16-00101				
MF317946	Nig16-00201				
MF990886	Togo	Homo sapiens 			
MF990887	Togo	Homo sapiens 			
MF990888	Togo	Homo sapiens 			
MF990889	Togo	Homo sapiens    			
					
MS811606				yes	yes
U63094		Homo sapiens			
U73034	Josiah	Homo sapiens			
U73035	Josiah	Homo sapiens			
X52400		Homo sapiens			
NC_004296		Homo sapiens			
NC_004297		Homo sapiens			
