Accession	Country	Region	PMID	segment	lab_construct	patent_related
AF182219	USA					
AF182220	USA					
AF182221	USA					
AF182222	USA					
AF182223	USA					
AF182224	USA					
AF182225	USA					
AF182226	USA					
AF182227	USA					
AF182228	USA					
AF182229	USA					
AF182230	USA					
AF182231	USA					
AF182232	USA					
AF182233	USA					
AF182234	USA					
AF182235	USA					
AF182236	USA					
AF182237	USA					
AF182238	USA					
AF182239	USA					
AF182240	USA					
AF182241	USA					
AF182242	USA					
AF182243	USA					
AF182244	USA					
AF182245	USA					
AF182246	USA					
AF182247	USA					
AF182248	USA					
AF182249	USA					
AF182250	USA					
AF182251	USA					
AF182252	USA					
AF182253	USA					
AF182254	USA					
AF182255	USA					
AF182256	USA					
AF182257	USA					
AF182258	USA					
AF182259	USA					
AF182260	USA					
AF182261	USA					
AF182262	USA					
AF182263	USA					
AF182264	USA					
AF182265	USA					
AF182266	USA					
AF182267	USA					
AF182268	USA					
AF182269	USA					
AF182270	USA					
AF182271	USA					
AF182272	USA					
AY363905	DEU			L		
AY363906	DEU			L		
AY363907	DEU			L		
AY363908	DEU			L		
AY363909	DEU			L		
AY363910	DEU			L		
AY628200 	USA			L		
AY628201	USA			L		
AY628202	USA			L		
AY628203	USA			L		
AY628204	USA			L		
AY628205	USA			L		
AY628206	USA			L		
AY628207	USA			L		
AY628208	USA			L		
FV537334 					Yes	Yes
FV537335					Yes	Yes
FV537336					Yes	Yes
FV537337					Yes	Yes
FV537338					Yes	Yes
FV537339					Yes	Yes
FV537340					Yes	Yes
GN354234					Yes	Yes
GN354235					Yes	Yes
GN354236					Yes	Yes
GN354237					Yes	Yes
GN354238					Yes	Yes
GN354239					Yes	Yes
GN354240					Yes	Yes
GN354241					Yes	Yes
GN354242					Yes	Yes
GN354243					Yes	Yes
