accession	excluded	excluded_reason
AJ969404	TRUE	reverse orientation
AJ969405	TRUE	reverse orientation
AJ969406	TRUE	reverse orientation
AJ969407	TRUE	reverse orientation
AJ969408	TRUE	reverse orientation
AJ969409	TRUE	reverse orientation
AY363905	TRUE	reverse orientation
AY363906	TRUE	reverse orientation
AY363907	TRUE	reverse orientation
AY363908	TRUE	reverse orientation
AY363909	TRUE	reverse orientation
AY363910	TRUE	reverse orientation
AY693637	TRUE	reverse orientation
AY693638	TRUE	reverse orientation
AY693639	TRUE	reverse orientation
AY693640	TRUE	reverse orientation
AY870334	TRUE	reverse orientation
CS272332	TRUE	reverse orientation
CS805355	TRUE	reverse orientation
FJ824031	TRUE	reverse orientation
FV537336	TRUE	reverse orientation
FV537337	TRUE	reverse orientation
FV537340	TRUE	reverse orientation
GU481063	TRUE	reverse orientation
GU573541	TRUE	reverse orientation
GU573542	TRUE	reverse orientation
GU573543	TRUE	reverse orientation
GU573544	TRUE	reverse orientation
GU573545	TRUE	reverse orientation
GU573546	TRUE	reverse orientation
GU573547	TRUE	reverse orientation
GU573548	TRUE	reverse orientation
GU573549	TRUE	reverse orientation
GU573550	TRUE	reverse orientation
GU573551	TRUE	reverse orientation
GU573552	TRUE	reverse orientation
GU830812	TRUE	reverse orientation
GU830814	TRUE	reverse orientation
GU830815	TRUE	reverse orientation
GU830816	TRUE	reverse orientation
GU830817	TRUE	reverse orientation
GU830818	TRUE	reverse orientation
GU830819	TRUE	reverse orientation
GU830820	TRUE	reverse orientation
GU830821	TRUE	reverse orientation
GU830822	TRUE	reverse orientation
GU830823	TRUE	reverse orientation
GU830824	TRUE	reverse orientation
GU830825	TRUE	reverse orientation
GU830826	TRUE	reverse orientation
GU830827	TRUE	reverse orientation
GU830828	TRUE	reverse orientation
GU830829	TRUE	reverse orientation
GU830830	TRUE	reverse orientation
GU830831	TRUE	reverse orientation
GU830832	TRUE	reverse orientation
GU830833	TRUE	reverse orientation
GU830834	TRUE	reverse orientation
GU830835	TRUE	reverse orientation
GU830836	TRUE	reverse orientation
GU830837	TRUE	reverse orientation
GU830838	TRUE	reverse orientation
GU830840	TRUE	reverse orientation
GU830841	TRUE	reverse orientation
GU830842	TRUE	reverse orientation
GU830843	TRUE	reverse orientation
GU979508	TRUE	reverse orientation
GU979510	TRUE	reverse orientation
JB048543	TRUE	reverse orientation
JC241991	TRUE	reverse orientation
JX845171	TRUE	reverse orientation
KF478760	TRUE	reverse orientation
KF478761	TRUE	reverse orientation
KF478762	TRUE	reverse orientation
KF478763	TRUE	reverse orientation
KF478764	TRUE	reverse orientation
KM821779	TRUE	reverse orientation
KM821790	TRUE	reverse orientation
KM821794	TRUE	reverse orientation
KM821833	TRUE	reverse orientation
KM821843	TRUE	reverse orientation
KM821887	TRUE	reverse orientation
KM821925	TRUE	reverse orientation
KM821947	TRUE	reverse orientation
KM821974	TRUE	reverse orientation
KM821977	TRUE	reverse orientation
KM821980	TRUE	reverse orientation
KM822111	TRUE	reverse orientation
KM822113	TRUE	reverse orientation
KM822118	TRUE	reverse orientation
KP640562	TRUE	reverse orientation
KP640563	TRUE	reverse orientation
KP640564	TRUE	reverse orientation
KP640565	TRUE	reverse orientation
KP640566	TRUE	reverse orientation
KP640567	TRUE	reverse orientation
KP640568	TRUE	reverse orientation
KP640569	TRUE	reverse orientation
KP640570	TRUE	reverse orientation
KP640571	TRUE	reverse orientation
KP640572	TRUE	reverse orientation
KP640573	TRUE	reverse orientation
KP640574	TRUE	reverse orientation
KP640575	TRUE	reverse orientation
KP640576	TRUE	reverse orientation
KT992421	TRUE	reverse orientation
KT992426	TRUE	reverse orientation
KT992427	TRUE	reverse orientation
KT992428	TRUE	reverse orientation
KT992429	TRUE	reverse orientation
KT992430	TRUE	reverse orientation
KT992431	TRUE	reverse orientation
KT992432	TRUE	reverse orientation
KT992433	TRUE	reverse orientation
KT992434	TRUE	reverse orientation
KT992435	TRUE	reverse orientation
KT992436	TRUE	reverse orientation
KT992437	TRUE	reverse orientation
KT992438	TRUE	reverse orientation
KT992439	TRUE	reverse orientation
LC388575	TRUE	reverse orientation
LC388577	TRUE	reverse orientation
LC388592	TRUE	reverse orientation
MF990888	TRUE	reverse orientation
MG812636	TRUE	reverse orientation
MG812639	TRUE	reverse orientation
MG812641	TRUE	reverse orientation
MG812645	TRUE	reverse orientation
MG812647	TRUE	reverse orientation
MG812648	TRUE	reverse orientation
MG812653	TRUE	reverse orientation
MG812655	TRUE	reverse orientation
MG812658	TRUE	reverse orientation
MG812663	TRUE	reverse orientation
MG812667	TRUE	reverse orientation
MG812670	TRUE	reverse orientation
MG812677	TRUE	reverse orientation
MG812683	TRUE	reverse orientation
MH053490	TRUE	reverse orientation
MH053523	TRUE	reverse orientation
MH053555	TRUE	reverse orientation
MH157039	TRUE	reverse orientation
MH732623	TRUE	reverse orientation
MH732624	TRUE	reverse orientation
MH732625	TRUE	reverse orientation
MH732626	TRUE	reverse orientation
MH732627	TRUE	reverse orientation
MH732628	TRUE	reverse orientation
MH732629	TRUE	reverse orientation
MH732630	TRUE	reverse orientation
MH732631	TRUE	reverse orientation
MH732632	TRUE	reverse orientation
MH732633	TRUE	reverse orientation
MH732634	TRUE	reverse orientation
MH732635	TRUE	reverse orientation
MH732636	TRUE	reverse orientation
MH732637	TRUE	reverse orientation
MH732638	TRUE	reverse orientation
MH732639	TRUE	reverse orientation
MH732640	TRUE	reverse orientation
MH887756	TRUE	reverse orientation
MK044799	TRUE	reverse orientation
MK107971	TRUE	reverse orientation
MK107972	TRUE	reverse orientation
MK107973	TRUE	reverse orientation
MK107974	TRUE	reverse orientation
MK107975	TRUE	reverse orientation
MK107976	TRUE	reverse orientation
MK107977	TRUE	reverse orientation
MK107978	TRUE	reverse orientation
MK107979	TRUE	reverse orientation
MK107980	TRUE	reverse orientation
MK107981	TRUE	reverse orientation
MK107982	TRUE	reverse orientation
MK117850	TRUE	reverse orientation
MK117854	TRUE	reverse orientation
MK117948	TRUE	reverse orientation
MK117949	TRUE	reverse orientation
MK117951	TRUE	reverse orientation
MK117954	TRUE	reverse orientation
MK117958	TRUE	reverse orientation
MK117959	TRUE	reverse orientation
MK117962	TRUE	reverse orientation
MK117963	TRUE	reverse orientation
MK117964	TRUE	reverse orientation
MK117969	TRUE	reverse orientation
MK117977	TRUE	reverse orientation
MK117978	TRUE	reverse orientation
MK117980	TRUE	reverse orientation
MK117981	TRUE	reverse orientation
MK117989	TRUE	reverse orientation
MK117992	TRUE	reverse orientation
MK117993	TRUE	reverse orientation
MK117995	TRUE	reverse orientation
MK117999	TRUE	reverse orientation
MK118001	TRUE	reverse orientation
MK118003	TRUE	reverse orientation
MK118004	TRUE	reverse orientation
MK118005	TRUE	reverse orientation
MK118006	TRUE	reverse orientation
