taxon	sequenceID	pubmed_id	segment	host_sci_name	isolate	country	collection_year
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AH012598	AH012598	14972544	L	-	CSF	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AY179171	AY179171	14972544	L	-	AV	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AY179172	AY179172	14972544	L	-	NL	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AY628200	AY628200	-	L	-	Macenta	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AY628202	AY628202	-	L	Homo sapiens	Josiah	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/AY628204	AY628204	-	L	-	Z148	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481069	GU481069	20507773	L	Homo sapiens	Nig08-04	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481071	GU481071	20507773	L	Homo sapiens	Nig08-A18	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481073	GU481073	20507773	L	Homo sapiens	Nig08-A19	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481075	GU481075	21191050	L	Homo sapiens	Nig08-A37	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481077	GU481077	21191050	L	Homo sapiens	Nig08-A41	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU481079	GU481079	21191050	L	Homo sapiens	Nig08-A47	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/GU979513	GU979513	21191050	L	Mastomys natalensis	BA366	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/HQ688674	HQ688674	21307206	L	-	Josiah	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/HQ688675	HQ688675	21307206	L	-	recombinant Josiah	-	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/JN650518	JN650518	-	L	Homo sapiens	Josiah	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821772	KM821772	-	L	Homo sapiens	G502-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821774	KM821774	-	L	Homo sapiens	G503-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821776	KM821776	-	L	Homo sapiens	G610-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821778	KM821778	-	L	Homo sapiens	G636-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821780	KM821780	-	L	Homo sapiens	G676-SLE-2009	SLE	-
